ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,FoundPercentage
ZRP-PRUNE,Original,1696,61,4,1,42.2759433962264
ZRP-PRUNE,Original,1696,61,4,2,40.5365566037736
ZRP-PRUNE,Original,1696,61,4,3,41.0573899371069
ZRP-PRUNE,Original,1696,61,5,1,42.4528301886792
ZRP-PRUNE,Original,1696,61,5,2,42.3349056603774
ZRP-PRUNE,Original,1696,61,5,3,41.9025157232704
ZRP-PRUNE,Original,1696,61,6,1,43.6910377358491
ZRP-PRUNE,Original,1696,61,6,2,41.8632075471698
ZRP-PRUNE,Original,1696,61,6,3,42.059748427673
ZRP-PRUNE,Original,1696,61,7,1,42.4528301886792
ZRP-PRUNE,Original,1696,61,7,2,41.7452830188679
ZRP-PRUNE,Original,1696,61,7,3,41.7845911949685
ZRP-PRUNE,Original,1696,61,8,1,43.2193396226415
ZRP-PRUNE,Original,1696,61,8,2,43.9858490566038
ZRP-PRUNE,Original,1696,61,8,3,41.4897798742138
ZRP-PRUNE,Original,1696,61,9,1,40.4481132075472
ZRP-PRUNE,Original,1696,61,9,2,42.8066037735849
ZRP-PRUNE,Original,1696,61,9,3,41.8238993710692
